ang,gain0,gain90
93,-12.4119,-11.122
94,-12.0672,-11.679
95,-11.5769,-12.076
96,-10.9876,-12.257
97,-10.338,-12.208
98,-9.65697,-11.962
99,-8.96434,-11.580
100,-8.27387,-11.128
101,-7.59536,-10.654
102,-6.93618,-10.188
103,-6.30214,-9.7441
104,-5.69786,-9.3222
105,-5.12701,-8.9174
106,-4.59232,-8.5208
107,-4.09564,-8.1233
108,-3.63798,-7.7182
109,-3.21957,-7.3024
110,-2.8399,-6.877
111,-2.49779,-6.4468
112,-2.19145,-6.0195
113,-1.91856,-5.6039
114,-1.67632,-5.2088
115,-1.46153,-4.8422
116,-1.27064,-4.5106
117,-1.09991,-4.2188
118,-0.94547,-3.9699
119,-0.803461,-3.7656
120,-0.670169,-3.6062
121,-0.542162,-3.4907
122,-0.416405,-3.4173
123,-0.290361,-3.3834
124,-0.162047,-3.3857
125,-0.0300572,-3.4203
126,0.10646,-3.4830
127,0.247851,-3.5693
128,0.394026,-3.6745
129,0.544537,-3.7935
130,0.698646,-3.9213
131,0.855379,-4.0523
132,1.01356,-4.1811
133,1.17186,-4.3017
134,1.32876,-4.4077
135,1.48264,-4.4926
136,1.63174,-4.5500
137,1.77425,-4.5733
138,1.90831,-4.557
139,2.03211,-4.4963
140,2.14392,-4.3883
141,2.24221,-4.2318
142,2.32569,-4.0275
143,2.3934,-3.7779
144,2.44472,-3.4869
145,2.47949,-3.1594
146,2.49796,-2.8008
147,2.50083,-2.4167
148,2.48927,-2.0125
149,2.46483,-1.5937
150,2.42942,-1.1651
151,2.3852,-0.7314
152,2.3345,-0.2970
153,2.27969,0.13379
154,2.22304,0.55732
155,2.1666,0.96989
156,2.11211,1.36815
157,2.06088,1.749
158,2.01378,2.10967
159,1.97126,2.44765
160,1.93336,2.76074
161,1.89985,3.047
162,1.87029,3.30477
163,1.8442,3.53261
164,1.82114,3.72933
165,1.80082,3.89388
166,1.78317,4.0254
167,1.76835,4.12316
168,1.75677,4.18652
169,1.74906,4.21491
170,1.74596,4.20781
171,1.7483,4.16475
172,1.75683,4.08524
173,1.77221,3.96877
174,1.79483,3.81481
175,1.82485,3.62279
176,1.86206,3.39208
177,1.90594,3.12198
178,1.95566,2.81177
179,2.01012,2.46068
180,2.06801,2.06801
